文件夹,名称,经纬度[经度 + 纬度],线条宽度,线条颜色,线条不透明度,闭合,线型,轨迹风格,轨迹类别,显示级别,叠放层次,对象ID,所属区域,Comment
/道路,道路37-39,"113.58855289,25.99626806;113.58915825,25.99610786;113.58943206,25.99602594;113.58957165,25.99597533;113.58982130,25.99584997;113.59010048,25.99569084;113.59022665,25.99562091;113.59044408,25.99554860;113.59076619,25.99548598;113.59084134,25.99548359;113.59145063,25.99570572;113.59177004,25.99572270",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1999202406,无,
/道路,道路39-40,"113.59177004,25.99572270;113.59184519,25.99577580;113.59220082,25.99575176;113.59229879,25.99573610;113.59236992,25.99570837;113.59243568,25.99564687;113.59263432,25.99539842;113.59270545,25.99532727;113.59296446,25.99509209;113.59315234,25.99497271;113.59324896,25.99494016;113.59350125,25.99490161;113.59361263,25.99489318;113.59398568,25.99492461;113.59407558,25.99496323;113.59426343,25.99518762;113.59446872,25.99537342;113.59454654,25.99542531;113.59472903,25.99548806;113.59486455,25.99554236;113.59500678,25.99562320;113.59536503,25.99590672;113.59542540,25.99597066;113.59545357,25.99604062;113.59549783,25.99644111;113.59562126,25.99661603;113.59575140,25.99668842;113.59583056,25.99672220;113.59598353,25.99671498;113.59614588,25.99664020;113.59648536,25.99645446;113.59704217,25.99642071;113.59729710,25.99639779;113.59745676,25.99627838;113.59758423,25.99613844;113.59762582,25.99615653;113.59764326,25.99619273;113.59763923,25.99624218;113.59759361,25.99629767;113.59745138,25.99639779;113.59728770,25.99650274;113.59689859,25.99667160;113.59686504,25.99673312;113.59690394,25.99681394;113.59792357,25.99747499;113.59805237,25.99745569;113.59829789,25.99733627;113.59841998,25.99733144;113.59850986,25.99737125;113.59862792,25.99748704;113.59871914,25.99761732;113.59873521,25.99797436;113.59881167,25.99807206;113.59903034,25.99813720;113.59925304,25.99825902;113.59981242,25.99878248;113.59987412,25.99892723;113.59984458,25.99919019;113.59986336,25.99924930;113.59991434,25.99928669;113.60005252,25.99932406;113.60017995,25.99932767;113.60056364,25.99912860;113.60067632,25.99911773;113.60079168,25.99916476;113.60106666,25.99940596;113.60139934,25.99928770;113.60161799,25.99924907;113.60193456,25.99920197;113.60198421,25.99917783;113.60208884,25.99907407;113.60217470,25.99890880;113.60221495,25.99877249;113.60225923,25.99853003;113.60231960,25.99845885;113.60243362,25.99841539;113.60255970,25.99843226;113.60276894,25.99862883;113.60285210,25.99866017;113.60292721,25.99862156;113.60299295,25.99855520;113.60318747,25.99817518;113.60326795,25.99807022;113.60334441,25.99803160;113.60342220,25.99802675;113.60351072,25.99811841;113.60352145,25.99816787;113.60348788,25.99857558;113.60353348,25.99865760;113.60405522,25.99888906;113.60410619,25.99888785;113.60420679,25.99884921",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,401075825,无,
/道路,道路39-41,"113.59177004,25.99572270;113.59188545,25.99569861;113.59203442,25.99562506;113.59219145,25.99543089;113.59247060,25.99522467;113.59263702,25.99507634;113.59292558,25.99468436;113.59337783,25.99441424;113.59359255,25.99428762;113.59369722,25.99418028;113.59388645,25.99389683;113.59399248,25.99363750;113.59407571,25.99318876;113.59412268,25.99310433;113.59436826,25.99296684",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1118949273,无,
/道路,道路41-42,"113.59438419,25.99296931;113.59441929,25.99243487;113.59442869,25.99240109;113.59469304,25.99220450;113.59474269,25.99216108;113.59476149,25.99206216;113.59473734,25.99202115;113.59452532,25.99201026;113.59429451,25.99205727;113.59378458,25.99228639;113.59369736,25.99230206;113.59363697,25.99229601;113.59354305,25.99225981;113.59348266,25.99221757;113.59329079,25.99192560;113.59330153,25.99177120;113.59334986,25.99162041;113.59334852,25.99155528;113.59325594,25.99135380;113.59292315,25.99114745;113.59274871,25.99094233;113.59254608,25.99080718;113.59239578,25.99079146;113.59196096,25.99083358;113.59185495,25.99082873;113.59173417,25.99077561;113.59162413,25.99068632;113.59146175,25.99047757;113.59122959,25.99029415;113.59122691,25.99029415",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1245326079,无,
/道路,道路41-43,"113.59436826,25.99296684;113.59463932,25.99280765;113.59472922,25.99278474;113.59482987,25.99278355;113.59510895,25.99294764;113.59524716,25.99298385;113.59537060,25.99296818;113.59564569,25.99282104;113.59615692,25.99260876;113.59631391,25.99252916;113.59663191,25.99227344;113.59703177,25.99190190;113.59716862,25.99184883;113.59747185,25.99181988;113.59768383,25.99176560;113.59798437,25.99162446;113.59833321,25.99143144;113.59909659,25.99116722;113.59969494,25.99088852;113.60113173,25.99003305;113.60139199,25.98988101;113.60184943,25.98944303;113.60189504,25.98941286;113.60199431,25.98938630;113.60213784,25.98937542;113.60252013,25.98934880;113.60264622,25.98928243;113.60298560,25.98904229;113.60352617,25.98859823;113.60367507,25.98851133;113.60388163,25.98844251;113.60454420,25.98841941;113.60488891,25.98833123;113.60522958,25.98816465;113.60589617,25.98777598;113.60609064,25.98766010;113.60639107,25.98740423;113.60690744,25.98683222;113.60698121,25.98668019;113.60695441,25.98644978",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,94146360,无,
/道路,道路43-44,"113.60695441,25.98644978;113.60692222,25.98637981;113.60667415,25.98602886;113.60666075,25.98582619;113.60673453,25.98561263;113.60695315,25.98532905;113.60709933,25.98523610",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,853580586,无,
/道路,道路44-45,"113.60709933,25.98523610;113.60713692,25.98475352;113.60714496,25.98471250;113.60723751,25.98456528;113.60760768,25.98414169;113.60783836,25.98375312;113.60791615,25.98365055;113.60803283,25.98353467;113.60811597,25.98347312;113.60833858,25.98341389;113.60889106,25.98341847;113.60994906,25.98350963;113.61025881,25.98352998;113.61121618,25.98354513;113.61156747,25.98357870;113.61170021,25.98365705;113.61180612,25.98377039;113.61186645,25.98387048;113.61208767,25.98410440;113.61220296,25.98418274;113.61241480,25.98427067;113.61267087,25.98448164;113.61285454,25.98469385;113.61298860,25.98480475;113.61315753,25.98485048;113.61337740,25.98490463",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,2076218447,无,
/道路,道路44-46,"113.60709933,25.98523610;113.60752446,25.98508633;113.60771624,25.98499094;113.60824197,25.98431272;113.60837474,25.98417874;113.60850884,25.98407614;113.60870999,25.98400969;113.60911094,25.98393229;113.60932952,25.98394545;113.60990745,25.98408391;113.61034190,25.98414158;113.61112093,25.98416407;113.61151245,25.98425192;113.61212785,25.98460262;113.61279283,25.98510406;113.61289874,25.98516310;113.61343368,25.98534131;113.61383723,25.98540860;113.61425015,25.98552412;113.61440432,25.98552523;113.61449013,25.98548777;113.61499959,25.98513755;113.61516583,25.98504816;113.61534816,25.98500701;113.61585625,25.98492339;113.61606135,25.98495219;113.61640184,25.98505086;113.61662973,25.98511945;113.61715519,25.98540374;113.61734822,25.98542771;113.61762169,25.98539129",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1325857164,无,
/道路,道路43-53,"113.60695441,25.98644978;113.60680957,25.98645466;113.60633215,25.98627630;113.60590031,25.98621854;113.60575011,25.98605453;113.60563746,25.98584225;113.60558115,25.98567458;113.60556372,25.98560823;113.60554496,25.98535851;113.60562949,25.98491935;113.60565232,25.98449591;113.60563625,25.98416415;113.60535063,25.98356828;113.60527419,25.98332099;113.60512269,25.98260323;113.60501275,25.98217257;113.60504092,25.98195661;113.60531858,25.98156805;113.60538029,25.98140636;113.60536153,25.98121455;113.60526096,25.98082731;113.60527304,25.98067772;113.60533073,25.98051845;113.60544743,25.98034227;113.60609526,25.97958680;113.60647616,25.97923076",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,725248128,无,
/道路,道路46-47,"113.61762169,25.98539129;113.61772758,25.98542137;113.61784554,25.98543936;113.61791256,25.98547430;113.61797824,25.98555869;113.61808948,25.98569612;113.61861488,25.98642917;113.61916443,25.98675561;113.61974076,25.98720750;113.61992438,25.98726644;113.62061866,25.98747692;113.62071516,25.98754318;113.62139195,25.98831823;113.62165731,25.98858941;113.62168410,25.98872932;113.62178059,25.98885469;113.62189452,25.98887268;113.62203122,25.98887616;113.62218401,25.98883138;113.62261155,25.98879115;113.62272680,25.98880309;113.62282732,25.98884159;113.62283133,25.98901169;113.62279647,25.98918423;113.62280718,25.98936396;113.62280046,25.98947616;113.62280581,25.98969571;113.62288755,25.98985366;113.62316094,25.99005846;113.62345978,25.99040438;113.62387252,25.99082616;113.62451172,25.99132732;113.62481726,25.99163219;113.62496600,25.99168512;113.62518577,25.99171987;113.62574458,25.99180007;113.62585714,25.99184700;113.62590940,25.99192897;113.62595093,25.99211831;113.62594020,25.99221483;113.62612375,25.99267303;113.62625238,25.99287434;113.62645204,25.99301887;113.62673746,25.99311385;113.62737798,25.99317101;113.62756557,25.99319854;113.62781481,25.99327062;113.62801043,25.99335243;113.62822616,25.99347401;113.62846064,25.99363899;113.62878487,25.99402583;113.62896842,25.99427290;113.62932215,25.99443532;113.62959144,25.99476913;113.62982589,25.99507283;113.62998534,25.99517396;113.63028814,25.99528576;113.63108393,25.99631855;113.63123130,25.99643537;113.63153008,25.99652666;113.63185564,25.99660707;113.63243307,25.99673056;113.63276266,25.99676027;113.63347806,25.99692819;113.63371118,25.99697854;113.63389338,25.99696503;113.63435022,25.99688841;113.63478964,25.99692641",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1858922312,无,
/道路,道路46-48,"113.61762169,25.98539129;113.61805334,25.98506762;113.61874237,25.98443488;113.61888581,25.98429241;113.61935362,25.98398316;113.61935228,25.98398437",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1457331247,无,
