文件夹,名称,经纬度[经度 + 纬度],线条宽度,线条颜色,线条不透明度,闭合,线型,轨迹风格,轨迹类别,显示级别,叠放层次,对象ID,所属区域,Comment
/线路节点,线路节点51,"[0,0.000,360.000];113.61728690,25.98074446;113.61723864,25.98077346",1,0X00FF0000,100,0,0,7,无,1-0,0,1595870973,无,
/线路节点,线路节点52,"[0,0.000,360.000];113.62020152,25.98830440;113.62033848,25.98824804",1,0X00FF0000,100,0,0,7,无,1-0,0,1224021200,无,
/线路节点,线路节点53,"[0,0.000,360.000];113.63582879,25.98431634;113.63576181,25.98434297",1,0X00FF0000,100,0,0,7,无,1-0,0,1299711553,无,
/线路节点,线路节点54,"[0,0.000,360.000];113.63063636,25.99716471;113.63060823,25.99711770",1,0X00FF0000,100,0,0,7,无,1-0,0,1030859498,无,
/线路节点,线路节点55,"[0,0.000,360.000];113.61070640,25.97746490;113.61064677,25.97735038",1,0X00FF0000,100,0,0,7,无,1-0,0,14090619,无,
/线路节点,线路节点56,"[0,0.000,360.000];113.61643749,25.97420846;113.61639862,25.97420971",1,0X00FF0000,100,0,0,7,无,1-0,0,1669910331,无,
/线路节点,线路节点57,"[0,0.000,360.000];113.60841992,25.97139620;113.60842528,25.97142394",1,0X00FF0000,100,0,0,7,无,1-0,0,240794096,无,
/线路节点,线路节点58,"[0,0.000,360.000];113.57504832,25.99468422;113.57515710,25.99476756",1,0X00FF0000,100,0,0,7,无,1-0,0,1690396657,无,
/线路节点,线路节点59,"[0,0.000,360.000];113.59220744,25.97971038;113.59204231,25.97962622",1,0X00FF0000,100,0,0,7,无,1-0,0,537230852,无,
/线路节点,线路节点60,"[0,0.000,360.000];113.58776368,25.97745913;113.58785494,25.97750502",1,0X00FF0000,100,0,0,7,无,1-0,0,1313144109,无,
/线路节点,线路节点61,"[0,0.000,360.000];113.59305688,25.97913301;113.59327912,25.97903349",1,0X00FF0000,100,0,0,7,无,1-0,0,1851758104,无,
/线路节点,线路节点62,"[0,0.000,360.000];113.59324197,25.97426378;113.59298944,25.97425925",1,0X00FF0000,100,0,0,7,无,1-0,0,1986571309,无,
/线路节点,线路节点63,"[0,0.000,360.000];113.58776934,25.97338361;113.58790222,25.97342347",1,0X00FF0000,100,0,0,7,无,1-0,0,522524958,无,
/线路节点,线路节点64,"[0,0.000,360.000];113.61045098,25.95934493;113.61036248,25.95926774",1,0X00FF0000,100,0,0,7,无,1-0,0,1364251897,无,
/线路节点,线路节点65,"[0,0.000,360.000];113.59546968,25.97758911;113.59536501,25.97766149",1,0X00FF0000,100,0,0,7,无,1-0,0,1029500750,无,
