"文件夹","名称","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment"
"/道路节点","道路节点90","113.55283818","25.97324707","0","1","5","1-0","0","0X00000000","0.0","34338631","","无",""
"/道路节点","道路节点91","113.55289469","25.97272114","0","1","5","1-0","0","0X00000000","0.0","1471819293","","无",""
"/道路节点","道路节点92","113.55402150","25.97024026","0","1","5","1-0","0","0X00000000","0.0","1828939242","","无",""
"/道路节点","道路节点93","113.54823304","25.95506384","0","1","5","1-0","0","0X00000000","0.0","275444439","","无",""
"/道路节点","道路节点94","113.54871767","25.98405346","0","1","5","1-0","0","0X00000000","0.0","1016801912","","无",""
"/道路节点","道路节点95","113.54582393","25.98228229","0","1","5","1-0","0","0X00000000","0.0","1017403539","","无",""
"/道路节点","道路节点96","113.54422908","25.98037139","0","1","5","1-0","0","0X00000000","0.0","890678590","","无",""
"/道路节点","道路节点97","113.54561704","25.97944792","0","1","5","1-0","0","0X00000000","0.0","250152573","","无",""
"/道路节点","道路节点98","113.54462922","25.97810277","0","1","5","1-0","0","0X00000000","0.0","389317149","","无",""
"/道路节点","道路节点99","113.54521093","25.97914058","0","1","5","1-0","0","0X00000000","0.0","32007516","","无",""
"/道路节点","道路节点100","113.54391036","25.97821971","0","1","5","1-0","0","0X00000000","0.0","1818712982","","无",""
"/道路节点","道路节点101","113.54295147","25.97900937","0","1","5","1-0","0","0X00000000","0.0","1127013647","","无",""
"/道路节点","道路节点102","113.54165103","25.97755083","0","1","5","1-0","0","0X00000000","0.0","1095957624","","无",""
"/道路节点","道路节点103","113.53795320","25.97382522","0","1","5","1-0","0","0X00000000","0.0","1764941216","","无",""
"/道路节点","道路节点104","113.53691252","25.97360752","0","1","5","1-0","0","0X00000000","0.0","1253799095","","无",""
"/道路节点","道路节点105","113.53563992","25.97393011","0","1","5","1-0","0","0X00000000","0.0","370130181","","无",""
"/道路节点","道路节点106","113.51884508","25.97195186","0","1","5","1-0","0","0X00000000","0.0","427224404","","无",""
"/道路节点","道路节点107","113.53595199","25.97425664","0","1","5","1-0","0","0X00000000","0.0","809222371","","无",""
"/道路节点","道路节点108","113.53362139","25.97758675","0","1","5","1-0","0","0X00000000","0.0","1238087158","","无",""
"/道路节点","道路节点109","113.54004378","25.97676405","0","1","5","1-0","0","0X00000000","0.0","949607853","","无",""
"/道路节点","道路节点110","113.53634203","25.97541344","0","1","5","1-0","0","0X00000000","0.0","256214069","","无",""
"/道路节点","道路节点111","113.54615330","25.98367401","0","1","5","1-0","0","0X00000000","0.0","475303900","","无",""
"/道路节点","道路节点112","113.54719006","25.98441698","0","1","5","1-0","0","0X00000000","0.0","451586631","","无",""
"/道路节点","道路节点113","113.54862303","25.98459837","0","1","5","1-0","0","0X00000000","0.0","419471751","","无",""
"/道路节点","道路节点114","113.55021550","25.98511336","0","1","5","1-0","0","0X00000000","0.0","240283449","","无",""
"/道路节点","道路节点115","113.55323656","25.98585766","0","1","5","1-0","0","0X00000000","0.0","1821990817","","无",""
"/道路节点","道路节点116","113.55306039","25.98651720","0","1","5","1-0","0","0X00000000","0.0","404792785","","无",""
"/道路节点","道路节点117","113.55272278","25.98763266","0","1","5","1-0","0","0X00000000","0.0","27692297","","无",""
"/道路节点","道路节点118","113.55836763","25.98665720","0","1","5","1-0","0","0X00000000","0.0","498955179","","无",""
"/道路节点","道路节点119","113.56214718","25.98477785","0","1","5","1-0","0","0X00000000","0.0","440649835","","无",""
"/道路节点","道路节点120","113.55885561","25.98707932","0","1","5","1-0","0","0X00000000","0.0","85625650","","无",""
"/道路节点","道路节点121","113.54706894","25.98570032","0","1","5","1-0","0","0X00000000","0.0","864195829","","无",""
"/道路节点","道路节点122","113.54457841","25.98497103","0","1","5","1-0","0","0X00000000","0.0","1124798794","","无",""
"/道路节点","道路节点123","113.54310451","25.98348866","0","1","5","1-0","0","0X00000000","0.0","216632689","","无",""
"/道路节点","道路节点124","113.53477514","25.98889491","0","1","5","1-0","0","0X00000000","0.0","1810523208","","无",""
"/道路节点","道路节点125","113.53853342","25.99235674","0","1","5","1-0","0","0X00000000","0.0","573113725","","无",""
"/道路节点","道路节点126","113.53116911","25.99528877","0","1","5","1-0","0","0X00000000","0.0","1904197220","","无",""
"/道路节点","道路节点127","113.52353901","25.99462076","0","1","5","1-0","0","0X00000000","0.0","1967679392","","无",""
"/道路节点","道路节点128","113.52110447","25.99154343","0","1","5","1-0","0","0X00000000","0.0","1789727175","","无",""
"/道路节点","道路节点129","113.52339417","25.99577314","0","1","5","1-0","0","0X00000000","0.0","466666340","","无",""
"/道路节点","道路节点130","113.52108536","25.99512128","0","1","5","1-0","0","0X00000000","0.0","882507132","","无",""
"/道路节点","道路节点131","113.51866583","25.99361857","0","1","5","1-0","0","0X00000000","0.0","792263998","","无",""
"/道路节点","道路节点132","113.51651542","25.99132518","0","1","5","1-0","0","0X00000000","0.0","1731917286","","无",""
"/道路节点","道路节点133","113.51749800","25.98947992","0","1","5","1-0","0","0X00000000","0.0","995672332","","无",""
"/道路节点","道路节点134","113.51379828","25.99005783","0","1","5","1-0","0","0X00000000","0.0","252025989","","无",""
"/道路节点","道路节点135","113.51347396","25.98961295","0","1","5","1-0","0","0X00000000","0.0","112733448","","无",""
"/道路节点","道路节点136","113.50680202","25.97645108","0","1","5","1-0","0","0X00000000","0.0","157688513","","无",""
"/道路节点","道路节点137","113.50694467","25.97602861","0","1","5","1-0","0","0X00000000","0.0","1840689309","","无",""
"/道路节点","道路节点138","113.50658937","25.97570180","0","1","5","1-0","0","0X00000000","0.0","1995202130","","无",""
"/道路节点","道路节点139","113.51187244","25.98863590","0","1","5","1-0","0","0X00000000","0.0","596836365","","无",""
"/道路节点","道路节点140","113.49571546","25.99416787","0","1","5","1-0","0","0X00000000","0.0","1968958316","","无",""
"/道路节点","道路节点141","113.49596009","25.99847019","0","1","5","1-0","0","0X00000000","0.0","411851831","","无",""
"/道路节点","道路节点142","113.49611889","25.99876620","0","1","5","1-0","0","0X00000000","0.0","807392252","","无",""
"/道路节点","道路节点143","113.49725749","25.99957178","0","1","5","1-0","0","0X00000000","0.0","1986206193","","无",""
"/道路节点","道路节点144","113.51942427","26.00111889","0","1","5","1-0","0","0X00000000","0.0","2132097531","","无",""
"/道路节点","道路节点145","113.51299204","26.00886804","0","1","5","1-0","0","0X00000000","0.0","469385931","","无",""
"/道路节点","道路节点146","113.51313006","26.01690834","0","1","5","1-0","0","0X00000000","0.0","214795955","","无",""
"/道路节点","道路节点147","113.51071000","26.01194877","0","1","5","1-0","0","0X00000000","0.0","1548396745","","无",""
"/道路节点","道路节点148","113.51045910","26.00699980","0","1","5","1-0","0","0X00000000","0.0","1530920037","","无",""
"/道路节点","道路节点149","113.51062754","26.00595058","0","1","5","1-0","0","0X00000000","0.0","1017246075","","无",""
"/道路节点","道路节点150","113.50721424","26.00668218","0","1","5","1-0","0","0X00000000","0.0","1865670148","","无",""
"/道路节点","道路节点151","113.52387242","26.01101003","0","1","5","1-0","0","0X00000000","0.0","1174429754","","无",""
"/道路节点","道路节点152","113.52507815","26.01042839","0","1","5","1-0","0","0X00000000","0.0","84918728","","无",""
"/道路节点","道路节点153","113.52605453","26.01747105","0","1","5","1-0","0","0X00000000","0.0","972528405","","无",""
"/道路节点","道路节点154","113.52789531","26.01673794","0","1","5","1-0","0","0X00000000","0.0","16425848","","无",""
"/道路节点","道路节点155","113.52610024","26.01801630","0","1","5","1-0","0","0X00000000","0.0","752742281","","无",""
"/道路节点","道路节点156","113.52196357","26.02025046","0","1","5","1-0","0","0X00000000","0.0","250818434","","无",""
"/道路节点","道路节点157","113.52955518","26.02330319","0","1","5","1-0","0","0X00000000","0.0","489284518","","无",""
"/道路节点","道路节点158","113.53016540","26.02356925","0","1","5","1-0","0","0X00000000","0.0","2122467614","","无",""
"/道路节点","道路节点159","113.53102639","26.02347887","0","1","5","1-0","0","0X00000000","0.0","1046274150","","无",""
"/道路节点","道路节点160","113.53057501","26.02360016","0","1","5","1-0","0","0X00000000","0.0","898882730","","无",""
"/道路节点","道路节点161","113.52998029","26.02407856","0","1","5","1-0","0","0X00000000","0.0","1863792127","","无",""
"/道路节点","道路节点162","113.53089767","26.02682578","0","1","5","1-0","0","0X00000000","0.0","2068921852","","无",""
"/道路节点","道路节点163","113.53774399","26.02481777","0","1","5","1-0","0","0X00000000","0.0","486302839","","无",""
"/道路节点","道路节点164","113.53775354","26.02436612","0","1","5","1-0","0","0X00000000","0.0","1964650008","","无",""
"/道路节点","道路节点165","113.54160468","26.02224190","0","1","5","1-0","0","0X00000000","0.0","1772355016","","无",""
"/道路节点","道路节点166","113.53875252","26.02516487","0","1","5","1-0","0","0X00000000","0.0","442038602","","无",""
"/道路节点","道路节点167","113.53968221","26.02767875","0","1","5","1-0","0","0X00000000","0.0","2052162166","","无",""
"/道路节点","道路节点168","113.54035638","26.02780399","0","1","5","1-0","0","0X00000000","0.0","1102683083","","无",""
